2024-12-03 14:38:54 [JavaFX Application Thread] INFO : Маршрут найден: Путь: Улица Дыбенко -> Проспект Большевиков -> Ладожская -> Новочеркасская -> Площадь Александра Невского 2 -> Площадь Александра Невского 1 -> Маяковская -> Гостиный двор -> Василеостровская -> Приморская -> Зенит -> Беговая
Время в пути: 24,8 минут.
2024-12-03 14:41:51 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Куда'.
2024-12-03 14:41:52 [JavaFX Application Thread] DEBUG: Станция Балтийская была выбрана.
2024-12-03 14:41:52 [JavaFX Application Thread] DEBUG: Станция Балтийская была выбрана.
2024-12-03 14:41:53 [JavaFX Application Thread] INFO : Маршрут найден: Путь: Балтийская
Время в пути: 0,0 минут.
2024-12-03 14:41:56 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Откуда'.
2024-12-03 14:41:57 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Куда'.
2024-12-03 14:42:01 [JavaFX Application Thread] ERROR: Ошибка: Одна из станций не найдена.
2024-12-03 14:42:04 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Откуда'.
2024-12-03 14:42:05 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Куда'.
2024-12-03 14:42:11 [JavaFX Application Thread] ERROR: Ошибка: Одна из станций не найдена.
2024-12-03 14:42:14 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Куда'.
2024-12-03 14:42:14 [JavaFX Application Thread] INFO : Кнопка 'Стереть' нажата для поля 'Откуда'.
2024-12-03 14:42:17 [JavaFX Application Thread] INFO : Кнопка 'Куда' нажата.
2024-12-03 14:42:18 [JavaFX Application Thread] WARN : Один из полей пуст: startStation = , endStation = 
2024-12-03 15:04:00 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 15:04:00 [JavaFX Application Thread] INFO : MetroDataInitializer created with stationCount: 72
2024-12-03 15:04:00 [JavaFX Application Thread] DEBUG: Metro data loaded successfully.
2024-12-03 15:04:00 [JavaFX Application Thread] INFO : Initializing station names...
2024-12-03 15:04:00 [JavaFX Application Thread] INFO : Station names initialized.
2024-12-03 15:04:00 [JavaFX Application Thread] DEBUG: Получение матрицы смежности.
2024-12-03 15:04:00 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 15:04:00 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:04:00 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:04:01 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 15:04:01 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:04:01 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:04:01 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 15:04:01 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:04:01 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:05:16 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : MetroDataInitializer created with stationCount: 72
2024-12-03 15:05:17 [JavaFX Application Thread] DEBUG: Metro data loaded successfully.
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Initializing station names...
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Station names initialized.
2024-12-03 15:05:17 [JavaFX Application Thread] DEBUG: Получение матрицы смежности.
2024-12-03 15:05:17 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:05:17 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:05:18 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 15:05:18 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:05:18 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:25:40 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 15:25:40 [JavaFX Application Thread] INFO : MetroDataInitializer created with stationCount: 72
2024-12-03 15:25:40 [JavaFX Application Thread] DEBUG: Metro data loaded successfully.
2024-12-03 15:25:40 [JavaFX Application Thread] INFO : Initializing station names...
2024-12-03 15:25:40 [JavaFX Application Thread] INFO : Station names initialized.
2024-12-03 15:25:40 [JavaFX Application Thread] DEBUG: Получение матрицы смежности.
2024-12-03 15:25:40 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Initializing station coordinates...
2024-12-03 15:25:41 [JavaFX Application Thread] INFO : Station coordinates initialized.
2024-12-03 20:17:13 [JavaFX Application Thread] INFO : Инициализация данных о метро.
2024-12-03 20:17:13 [JavaFX Application Thread] INFO : MetroDataInitializer, созданный с помощью StationCount: 72
2024-12-03 20:17:13 [JavaFX Application Thread] DEBUG: Данные Metro успешно загружены.
2024-12-03 20:17:13 [JavaFX Application Thread] INFO : Инициализация названий станций...
2024-12-03 20:17:13 [JavaFX Application Thread] INFO : Названия станций инициализированы.
2024-12-03 20:17:13 [JavaFX Application Thread] DEBUG: Получение матрицы смежности.
2024-12-03 20:17:14 [JavaFX Application Thread] DEBUG: Загрузка изображения карты метро...
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Инициализация координат станции...
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Координаты станции инициализированы.
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Изменение размера карты, обновление станций.
2024-12-03 20:17:14 [JavaFX Application Thread] INFO : Инициализация координат станции...
